content_id,client_id,search_volume,competition,competition_level,cpc,content_type,main_intent,word_count,char_count,provider_used,model_used,impressions_90d,clicks_90d,pageviews_90d,sessions_90d,users_90d,engaged_sessions_90d,ai_sessions_90d,scroll_events_90d,days_with_impressions,days_with_sessions,impressions_last_30d,clicks_last_30d,sessions_last_30d,impressions_prev_30d,clicks_prev_30d,sessions_prev_30d,content_age_days,age_tier,age_tier_order,days_since_last_update,freshness_tier,word_count_tier,char_count_tier,ctr,avg_position,engagement_rate,scroll_rate,ai_traffic_pct,impression_tier,position_tier,is_declining_label,score,reason_code,action
content_e3ff1b093148,client_d029fa3a95,0.0,0.0,LOW,0.0,keyword article,informational,4758.0,33575.0,,gemini-2.5-flash,1408,4,10,9,9,0,0,2,85,9,122,1,1,387,1,3,232,181-365,5,183,181+,3500+,25000+,0.28,7.8,0.0,20.0,0.0,moderate,page_1,True,387,stale_underperforming_page1,Refresh Title/Snippet & Update Content
content_7f116ae1f6f5,client_9400f1b21c,,,,,keyword article,,1335.0,9375.0,,gpt-5-mini,954,4,6,6,5,0,0,0,81,5,188,1,2,339,1,2,301,181-365,5,301,181+,1000-2000,8000-15000,0.42,9.0,0.0,0.0,0.0,moderate,page_1,True,339,stale_underperforming_page1,Refresh Title/Snippet & Update Content
content_02b0d6e30129,client_19581e27de,110.0,0.4,MEDIUM,0.59,keyword article,transactional,,,,,176,0,6,6,6,0,0,0,31,6,7,0,2,159,0,3,313,181-365,5,313,181+,,,0.0,6.9,0.0,0.0,0.0,low,page_1,True,159,stale_underperforming_page1,Refresh Title/Snippet & Update Content
content_fd16e3475c29,client_d029fa3a95,0.0,0.0,LOW,0.0,keyword article,informational,4215.0,29822.0,,gemini-2.5-flash,429,0,1,1,1,0,0,1,83,1,106,0,0,157,0,0,232,181-365,5,183,181+,3500+,25000+,0.0,9.0,0.0,100.0,0.0,moderate,page_1,True,157,stale_underperforming_page1,Refresh Title/Snippet & Update Content
content_72496874f806,client_4ec9599fc2,,,,,keyword article,,1504.0,10770.0,,gpt-5-mini,821,2,9,6,6,0,0,0,71,6,97,0,2,125,0,0,301,181-365,5,301,181+,1000-2000,8000-15000,0.24,5.8,0.0,0.0,0.0,moderate,page_1,True,125,stale_underperforming_page1,Refresh Title/Snippet & Update Content
content_3c770ef0121a,client_d029fa3a95,0.0,0.0,LOW,0.0,keyword article,informational,3693.0,26158.0,,gemini-2.5-flash,268,2,6,6,6,0,0,1,74,6,68,1,1,71,0,2,232,181-365,5,183,181+,3500+,25000+,0.75,6.9,0.0,16.67,0.0,low,page_1,False,71,stale_underperforming_page1,Refresh Title/Snippet & Update Content
content_ea41fe5cf292,client_d029fa3a95,0.0,0.0,LOW,0.0,keyword article,informational,4369.0,30725.0,,gemini-2.5-flash,265,0,6,6,6,0,0,4,76,6,46,0,0,63,0,3,232,181-365,5,183,181+,3500+,25000+,0.0,8.0,0.0,66.67,0.0,low,page_1,True,63,stale_underperforming_page1,Refresh Title/Snippet & Update Content
content_958a46db26bd,client_d029fa3a95,0.0,0.0,LOW,0.0,keyword article,informational,4074.0,28859.0,,gemini-2.5-flash,198,0,6,6,6,0,0,2,68,5,38,0,0,60,0,3,232,181-365,5,183,181+,3500+,25000+,0.0,6.7,0.0,33.33,0.0,low,page_1,True,60,stale_underperforming_page1,Refresh Title/Snippet & Update Content
content_07ce98c6085a,client_4ec9599fc2,,,,,keyword article,,1442.0,10359.0,,gpt-5-mini,85,0,2,2,2,0,0,0,32,2,34,0,1,51,0,0,305,181-365,5,304,181+,1000-2000,8000-15000,0.0,5.3,0.0,0.0,0.0,low,page_1,True,51,stale_underperforming_page1,Refresh Title/Snippet & Update Content
content_ab27c30d81f4,client_4ec9599fc2,,,,,keyword article,,1094.0,7718.0,,gpt-5-mini,103,0,10,10,10,0,0,3,32,7,55,0,7,48,0,3,305,181-365,5,304,181+,1000-2000,<8000,0.0,8.9,0.0,30.0,0.0,low,page_1,False,48,stale_underperforming_page1,Refresh Title/Snippet & Update Content
content_180fabd3a3e0,client_d029fa3a95,0.0,0.0,LOW,0.0,keyword article,informational,4633.0,32228.0,,gemini-2.5-flash,120,1,1,1,1,0,0,1,55,1,16,1,0,48,0,1,232,181-365,5,183,181+,3500+,25000+,0.83,6.0,0.0,100.0,0.0,low,page_1,True,48,stale_underperforming_page1,Refresh Title/Snippet & Update Content
