content_id,model_prob,action,reason_code,days_since_last_update,avg_position,ctr,impressions_prev_30d,clicks_prev_30d,search_volume,competition,word_count,content_age_days
content_0b50482209cd,0.9880099051283264,HIGH PRIORITY REFRESH,model_flagged_decline_risk,8,5.7,0.0,4,0,10.0,0.01,2811.0,96
content_c90bfc85694f,0.9843132325959865,HIGH PRIORITY REFRESH,model_flagged_decline_risk,20,1.1,0.0,855,0,10.0,1.0,2708.0,95
content_ea909ac4580c,0.9810723120287266,HIGH PRIORITY REFRESH,model_flagged_decline_risk,8,6.4,0.0,4,0,0.0,0.0,2667.0,92
content_639b9e356f82,0.9805496547739724,HIGH PRIORITY REFRESH,model_flagged_decline_risk,8,6.3,0.0,5,0,40.0,0.0,2784.0,90
content_95186f0c38e3,0.979915084380923,HIGH PRIORITY REFRESH,model_flagged_decline_risk,1,6.5,0.0,3,0,0.0,0.0,2781.0,91
content_1bdbccd74939,0.979915084380923,HIGH PRIORITY REFRESH,model_flagged_decline_risk,8,6.0,0.0,4,0,0.0,0.0,2936.0,90
content_e843c3b9cde5,0.9792437933699455,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,33.0,0.13,14821,15,0.0,0.0,6055.0,144
content_04ff07050894,0.9790233366419883,HIGH PRIORITY REFRESH,model_flagged_decline_risk,1,7.0,0.0,4,0,0.0,0.0,3108.0,91
content_159168852e68,0.9785965416933087,HIGH PRIORITY REFRESH,model_flagged_decline_risk,8,17.4,0.49,3701,18,0.0,0.0,5035.0,148
content_db567200a5dc,0.9781574062909156,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,26.4,0.23,6779,16,0.0,0.0,7151.0,139
content_0ff563db5034,0.9779434221520535,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,2.2,0.0,274,0,0.0,0.0,5644.0,286
content_3557fee52b57,0.9775611697581748,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,20.5,0.1,10680,9,0.0,0.0,5119.0,148
content_4de40dcded75,0.9773881967141567,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,18.3,0.23,6305,18,0.0,0.0,6117.0,144
content_f1762127797f,0.977184556146745,HIGH PRIORITY REFRESH,model_flagged_decline_risk,1,0.8,0.0,2,0,0.0,0.0,2826.0,91
content_be1c109fcdbc,0.9762850984548621,HIGH PRIORITY REFRESH,model_flagged_decline_risk,20,34.0,0.05,2631,2,0.0,0.0,5359.0,144
content_373eaf1f5432,0.9759384910752466,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,36.5,0.1,7122,8,0.0,0.0,7152.0,139
content_4bb993e9270e,0.9756833059210318,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,1.3,0.0,251,0,0.0,0.0,5325.0,151
content_fb95edac0fc3,0.9754446760297568,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,22.8,0.12,32225,45,0.0,0.0,6569.0,223
content_f033c9b50c54,0.9753998852897253,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,30.5,0.3,7744,24,0.0,0.0,7444.0,144
content_69dff57b52cc,0.9752557986181482,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,35.3,0.13,11192,12,0.0,0.0,5886.0,144
content_650269882456,0.9748395774312332,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,27.8,0.24,8086,15,0.0,0.0,5675.0,144
