rank,client_id,content_id,ml_score_safe,priority,reason_code,recommended_action,days_since_last_update,search_volume
1,client_4e07408562,content_dbb4c75afccc,0.9009507123155198,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
2,client_8527a891e2,content_2a228ce7aa1b,0.8976272546529128,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
3,client_8527a891e2,content_901b40631379,0.8961519501098266,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,98,0.0
4,client_8527a891e2,content_75bbe9161b5d,0.8917938853644646,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,102,0.0
5,client_8527a891e2,content_5a2c8f6bafa5,0.8915675551144874,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,98,0.0
6,client_8527a891e2,content_488f346b4086,0.8915675551144874,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
7,client_8527a891e2,content_837c4ebfd762,0.8913710135881585,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
8,client_8527a891e2,content_9e40f2d86a76,0.8906400392106184,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
9,client_8527a891e2,content_72c8c4a76ef1,0.8889857962843019,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,98,0.0
10,client_8527a891e2,content_da1c25c60d66,0.8889857962843019,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
11,client_8527a891e2,content_5a639aa6d642,0.8875223816501554,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
12,client_8527a891e2,content_d951985a1391,0.8863074531177618,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
13,client_8527a891e2,content_2d953d501d3c,0.8859465254208552,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
14,client_4e07408562,content_0e52d032d7f7,0.8844338929578925,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
15,client_8527a891e2,content_4d9ab09aad97,0.8844338929578925,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
16,client_8527a891e2,content_268910e38131,0.8844338929578925,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
17,client_8527a891e2,content_f73c382ac270,0.8844338929578925,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
18,client_8527a891e2,content_aeb3c0da92cc,0.8820486756540358,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
19,client_8527a891e2,content_fa4b8e00edf9,0.8820486756540358,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
20,client_8527a891e2,content_9e59c3c921cd,0.8817938853644646,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,102,0.0
21,client_8527a891e2,content_6ecc6812ff7b,0.8802087283112868,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
22,client_4e07408562,content_27cf7d733c61,0.8802087283112868,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
23,client_8527a891e2,content_7171b15dd9f9,0.8798668218787344,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
24,client_8527a891e2,content_97fd095ebfd1,0.8797722203747789,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
25,client_8527a891e2,content_3261a57ccfeb,0.8785583112404365,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
26,client_4e07408562,content_6ab7fd4c71af,0.8762586063991625,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,10.0
27,client_8527a891e2,content_fd1cb7ce68f8,0.8756594688504487,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
28,client_8527a891e2,content_3cd58a4a2731,0.8742081010692937,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
29,client_4e07408562,content_ff3237507101,0.8739894930085313,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
30,client_8527a891e2,content_7751a002ea43,0.871784000655904,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,92,0.0
31,client_8527a891e2,content_62541a94734a,0.8665062219059405,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,98,0.0
32,client_8527a891e2,content_c3f6d634ff00,0.8654339892706888,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,103,10.0
33,client_8527a891e2,content_8f1409b2674e,0.8649338076797568,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
34,client_8527a891e2,content_33e1340be022,0.8648468800256378,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,102,0.0
35,client_8527a891e2,content_197a5b1ed096,0.8648468800256378,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,102,0.0
36,client_8527a891e2,content_6607847e4454,0.8648468800256378,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
37,client_8527a891e2,content_049c21f25031,0.8642251333512596,P3,DECAY_SIGNAL,Human Review - Investigate Content Relevance/Decay,104,0.0
